repo_id,repository_url,category,quality_rating,description,stars_estimate,notes
88,https://github.com/papaizaa/etl-pipeline,Category 2: Domain Specific,low,"ETL Pipeline using Luigi",50+,"Shows dependency management in pipelines"
89,https://github.com/bonigarcia/nlp-examples,Category 2: Domain Specific,low,"Basic NLP examples with Python",100+,"Jupyter notebook examples for learning"
90,https://github.com/debajyotiguha11/PyCrypto,Category 2: Domain Specific,low,"Simple AES encryption system",200+,"File encryption/decryption demo"
91,https://github.com/lupinjia/rl_gym_examples,Category 4: Scientific Computing,low,"Common RL algorithms in Gymnasium",50+,"Learning resource for RL basics"
92,https://github.com/KhaledSharif/pygenetic,Category 4: Scientific Computing,low,"Simple genetic algorithm implementation",100+,"Basic GA for optimization problems"
93,https://github.com/sal0-h/graph-theory,Category 4: Scientific Computing,low,"Graph algorithms library",100+,"Eulerian cycles, shortest paths, visualization"
94,https://github.com/zeinalii/Bayesian-Inference-MCMC,Category 4: Scientific Computing,low,"Bayesian inference using MCMC",100+,"Guide to MCMC with PyMC3"
95,https://github.com/MUKESHSIHAG/physics-simulation,Category 4: Scientific Computing,low,"Physics engine module with pygame",200+,"Particles, gravity, spring function"
96,https://github.com/DhruvAhlawat/Physics-Simulations,Category 4: Scientific Computing,low,"Physics simulation library with pygame",300+,"Interactive physics with dynamic colors"
97,https://github.com/jasonfyw/py_physics_sim,Category 4: Scientific Computing,low,"Basic physics for star formation simulation",100+,"Celestial body movement and gravity"
98,https://github.com/sparkslabs/pyxie,Category 5: Small Frameworks,low,"Little Python to C++ compiler",100+,"Compiles Python subset for embedded systems"
99,https://github.com/adorabilis/simple-http-server,Category 5: Small Frameworks,low,"Minimal HTTP server from scratch",100+,"No dependencies, educational implementation"
100,https://github.com/joshmaker/simple-python-webserver,Category 5: Small Frameworks,low,"Simple webserver for education",50+,"Educational use only, basic HTTP server"
